id;description;loot_systems;objectives;raids_per_week;seeking_guild;seeking_raid
1;Action command power-Up SimCity whale level dpm smurf tryhard boss speedrun survival game Wii Fit.;RAND;Chill;2;TRUE;TRUE
2;Uncharted CPU computer graphics Flying Simulator The Legend of Zelda: Twilight Princess main quest Gran Turismo.;ATTRIBUTION;Try Hard;3;TRUE;FALSE
3;RQ underpowered jrpg cut-in retrogaming wanted level gold sink co-op Mario Kart Game Boy Color Mario.;DRAGON_KILL_POINTS;Try Hard;3;FALSE;TRUE
4;Easter egg shovelware Call of Duty: Modern Warfare 2 wall hack easter eggs GG Counter-Strike recoi survival game Healer.;GOLD_DRAGON_KILL_POINTS;Semi Try Hard;2;FALSE;FALSE
5;Spoiler emulator Final Fantasy job influencer marketing level Action game battle pass beta Game Over beastiary open world.;RAND;Chill;3;TRUE;TRUE
6;The Witcher Metal Gear analog control survival game alpha Pokemon pervasive game.;ATTRIBUTION;Try Hard;3;TRUE;FALSE
7;Exploit light gun horde mode Grand Theft Auto: Vice City trigger point of no return Third-Person headshot slow-down.;DRAGON_KILL_POINTS;Try Hard;2;FALSE;TRUE
8;Wall hack AAA quest pervasive game random encounter flicker difficulty.;GOLD_DRAGON_KILL_POINTS;Semi Try Hard;3;FALSE;FALSE
9;Mudflation PlayStation3 demo power spike headshot hack Mario Party Red Dead Redemption graphics cut-scene Gran Turismo.;RAND;Chill;3;TRUE;TRUE
10;RQ The Elder Scrolls V: Skyrim God of War going gold Halo griefing open world casual 1-Up Gran Turismo RTS anti-aliasing Perfect Dark.;ATTRIBUTION;Try Hard;2;TRUE;FALSE
11;Sidequest Microsoft gib cheated death Third-Person draw distance DLC NBA Live CPU PlayStation Portable Portal 2.;DRAGON_KILL_POINTS;Try Hard;3;FALSE;TRUE
12;Call of Duty: Modern Warfare 2 NBA 2K Wii U FP CoD FOV bullshot FPS Xbox 360.;GOLD_DRAGON_KILL_POINTS;Semi Try Hard;3;FALSE;FALSE
13;Nintendo DS corruptor sandbox controller The Elder Scrolls V: Skyrim anti-aliasing Pac-Man quicksave MMORPG Nintendo 3DS.;RAND;Chill;2;TRUE;TRUE
14;Fighting game GameBattles noob Pokemon SimCity cheated death secret character texture mapping kill stealing Halo Multiplayer.;ATTRIBUTION;Try Hard;3;TRUE;FALSE
15;Suppression fire digital rights management respawn difficulty Nintendo DS quicksave Nintendo 3DS Wombo Combo emulator.;DRAGON_KILL_POINTS;Try Hard;3;FALSE;TRUE
16;Combo E.S.R.B. shoulder buttons bot gank pause controller hack Driving simulator.;GOLD_DRAGON_KILL_POINTS;Semi Try Hard;2;FALSE;FALSE
17;Influencer marketing Tomb Raider anti-aliasing Sony action command floaty FP point of no return level design Mario Party Far Cry.;RAND;Chill;3;TRUE;TRUE
18;GG no re Gran Turismo esp cheats Easter egg Mass Effect Just Dance OHKO genre AFK avatar VAC Super Smash Bros.;ATTRIBUTION;Try Hard;3;TRUE;FALSE
19;Trigger RQ The Orange Box spoiler grinding gank permadeath Fighting game.;DRAGON_KILL_POINTS;Try Hard;2;FALSE;TRUE
20;The Last of Us Shoot 'em up texture mapping The Legend of Zelda indie recoi Grand Theft Auto isometric view Sega Genesis publisher.;GOLD_DRAGON_KILL_POINTS;Semi Try Hard;3;FALSE;FALSE
21;Exploit main quest heat map AAA Pac-Man VAC spoiler Counter-Strike manic shooter Star Wars: Battlefront Microsoft.;RAND;Chill;3;TRUE;TRUE
22;Easter egg Mass Effect beastiary anime graphics exploit head bob.;ATTRIBUTION;Try Hard;2;TRUE;FALSE
23;Fatality 1-Up SNES Pokemon simulation game RNG Tom Clancy's Splinter Cell LittleBigPlanet.;DRAGON_KILL_POINTS;Try Hard;3;FALSE;TRUE
24;Assassin's Creed map Healer job nerf kill stealing matchmaking drop-out RTS God Mode Party game.;GOLD_DRAGON_KILL_POINTS;Semi Try Hard;3;FALSE;FALSE
25;Faceroll screen cheat pervasive game kill Beat 'Em Up touchscreen Kinect attract mode Survival Horror Nintendo 64 Frogger influencer marketing.;RAND;Chill;2;TRUE;TRUE
26;Action game Hit Points (HP) credit-feeding third-person RQ kill wrapping genre gib.;ATTRIBUTION;Try Hard;3;TRUE;FALSE
27;ÜberCharge split-screen multiplayer nerf chiptune Animal Crossing Medal of Honor HP real time knock-back save point Kingdom Hearts open world.;DRAGON_KILL_POINTS;Try Hard;3;FALSE;TRUE
28;Cel-shaded cut-scene action Just Dance controller Tom Clancy's Splinter Cell turbo wrapping cheap hit rekt anime.;GOLD_DRAGON_KILL_POINTS;Semi Try Hard;2;FALSE;FALSE
29;First-party developer sprite Sony level ambient occlusion Dark Souls floaty.;RAND;Chill;3;TRUE;TRUE
30;Patch demo isometric view frag area of effect Halo 2 Own Beat 'em up horde mode broken paddle action point KO.;ATTRIBUTION;Try Hard;3;TRUE;FALSE
